State,Region,State Abbreviation
Alabama,East South Central,AL
Alaska,Pacific,AK
Arizona,Mountain,AZ
Arkansas,West South Central,AR
California,Pacific,CA
Colorado,Mountain,CO
Connecticut,New England,CT
Delaware,South Atlantic,DE
District of Columbia,South Atlantic,DC
Florida,South Atlantic,FL
Georgia,South Atlantic,GA
Hawaii,Pacific,HI
Idaho,Mountain,ID
Illinois,East North Central,IL
Indiana,East North Central,IN
Iowa,West North Central,IA
Kansas,West North Central,KS
Kentucky,East South Central,KY
Louisiana,West South Central,LA
Maine,New England,ME
Maryland,South Atlantic,MD
Massachusetts,New England,MA
Michigan,East North Central,MI
Minnesota,West North Central,MN
Mississippi,East South Central,MS
Missouri,West North Central,MO
Montana,Mountain,MT
Nebraska,West North Central,NE
Nevada,Mountain,NV
New Hampshire,New England,NH
New Jersey,Middle Atlantic,NJ
New Mexico,Mountain,NM
New York,Middle Atlantic,NY
North Carolina,South Atlantic,NC
North Dakota,West North Central,ND
Ohio,East North Central,OH
Oklahoma,West South Central,OK
Oregon,Pacific,OR
Pennsylvania,Middle Atlantic,PA
Rhode Island,New England,RI
South Carolina,South Atlantic,SC
South Dakota,West North Central,SD
Tennessee,East South Central,TN
Texas,West South Central,TX
Utah,Mountain,UT
Vermont,New England,VT
Virginia,South Atlantic,VA
Washington,Pacific,WA
West Virginia,South Atlantic,WV
Wisconsin,East North Central,WI
Wyoming,Mountain,WY